noun,count,source
학습,3257,ai
학생,2804,ai
이해,2688,ai
따라서,2660,ai
과정,2413,ai
우주,2085,ai
변화,1969,ai
교육,1963,ai
통해,1911,ai
영향,1900,ai
천체,1858,ai
현상,1732,ai
가격,1716,ai
때문,1701,ai
방식,1673,ai
구조,1646,ai
물질,1617,ai
권리,1605,ai
은하,1594,ai
다른,1587,ai
관측,1584,ai
서로,1572,ai
환경,1557,ai
행성,1540,ai
사회,1471,ai
평가,1445,ai
생산,1443,ai
내용,1422,ai
반면,1409,ai
에너지,1407,ai
중력,1369,ai
지구,1343,ai
기업,1340,ai
경우,1320,ai
결과,1314,ai
소비,1302,ai
기준,1271,ai
효과,1262,ai
반대,1238,ai
수업,1234,ai
설명,1210,ai
책임,1209,ai
차이,1192,ai
실제,1182,ai
판단,1161,ai
경제,1158,ai
문제,1143,ai
역할,1130,ai
개인,1129,ai
비교,1123,ai
안정,1122,ai
수준,1108,ai
관계,1077,ai
형성,1053,ai
활동,1037,ai
교사,1026,ai
상태,1019,ai
시장,1017,ai
성질,1007,ai
소득,997,ai
가능성,992,ai
학교,991,ai
절차,986,ai
유지,972,ai
매우,965,ai
온도,946,ai
발달,938,ai
물가,931,ai
조정,923,ai
경기,919,ai
의미,918,ai
중심,899,ai
모두,898,ai
사이,893,ai
법적,887,ai
활용,882,ai
태양,880,ai
고려,879,ai
방법,879,ai
시간,875,ai
발생,875,ai
전달,863,ai
여러,860,ai
의무,851,ai
사람,843,ai
해석,840,ai
또한,838,ai
원리,833,ai
국가,831,ai
성장,816,ai
크게,800,ai
방향,793,ai
핵심,781,ai
균형,765,ai
선택,753,ai
제도,751,ai
생활,731,ai
정부,727,ai
확인,725,ai
위해,725,ai
보호,718,ai
정책,715,ai
사용,708,ai
존재,708,ai
대기,704,ai
교육과정,694,ai
직접,690,ai
부담,689,ai
개념,689,ai
행위,688,ai
전체,687,ai
연결,686,ai
기능,685,ai
지식,685,ai
계약,684,ai
비용,683,ai
운동,680,ai
공간,677,ai
요소,675,ai
기본,674,ai
연구,667,ai
적용,663,ai
법률,660,ai
효율,655,ai
조건,655,ai
작용,655,ai
해결,652,ai
성과,646,ai
능력,639,ai
도움,635,ai
제한,634,ai
소비자,629,ai
공급,628,ai
공기,612,ai
목적,612,ai
주변,608,ai
목표,607,ai
이용,603,ai
정보,592,ai
질량,592,ai
당사자,591,ai
형태,590,ai
물체,589,ai
제공,588,ai
경험,583,ai
재화,583,ai
모든,581,ai
금리,580,ai
분쟁,576,ai
자료,567,ai
표면,559,ai
학습자,558,ai
천문학,556,ai
상승,556,ai
이동,555,ai
결정,554,ai
내부,553,ai
생물,551,ai
투자,549,ai
태양계,546,ai
증가,539,ai
거리,535,ai
분배,535,ai
참여,535,ai
관련,532,ai
교수,524,ai
체계,521,ai
파악,521,ai
동시,518,ai
질서,512,ai
단계,501,ai
자유,501,ai
가계,500,ai
국민,499,ai
증거,498,ai
규범,495,ai
수요,495,ai
대표,494,ai
사실,493,ai
판례,487,ai
관찰,484,ai
지출,483,ai
속도,476,ai
크기,469,ai
하나,468,ai
기술,460,ai
다만,449,ai
보장,448,ai
운영,447,ai
식물,447,ai
이처럼,445,ai
자금,443,ai
스스로,439,ai
조절,438,ai
확대,438,ai
모습,434,ai
소리,432,ai
원칙,432,ai
분석,431,ai
반응,431,ai
자연,430,ai
이유,425,ai
밝기,423,ai
세포,421,ai
포함,421,ai
압력,419,ai
생명,419,ai
헌법,418,ai
요구,414,ai
구성,414,ai
과제,411,ai
손해,411,ai
블랙홀,410,ai
동기,410,ai
흐름,410,ai
실업,410,ai
우리,407,ai
가스,403,ai
보이지,403,ai
서비스,402,ai
반영,400,ai
사건,396,ai
움직임,396,ai
