pos,count,source,ratio
Noun,402679,ai,0.447991055287004
Josa,236471,ai,0.2630802520985031
Verb,104530,ai,0.11629239421263719
Punctuation,68415,ai,0.07611349995271763
Adjective,56899,ai,0.06330164487041848
Suffix,14968,ai,0.016652296532811188
Adverb,8950,ai,0.00995711210373197
Modifier,3526,ai,0.0039227684109227855
Conjunction,1007,ai,0.0011203141774813513
Determiner,615,ai,0.0006842037926028114
VerbPrefix,346,ai,0.0003849341662448337
Number,166,ai,0.0001846793976781572
Eomi,110,ai,0.00012237791412408007
Alpha,97,ai,0.0001079150697275979
Exclamation,42,ai,4.672611266555785e-05
Foreign,34,ai,3.782590072926111e-05
Noun,539018,human,0.4506839464882943
Josa,282045,human,0.23582357859531772
Verb,141367,human,0.11819983277591974
Punctuation,84885,human,0.07097408026755853
Adjective,65221,human,0.05453260869565217
Suffix,27459,human,0.022959030100334447
Number,19406,human,0.016225752508361203
Adverb,12942,human,0.010821070234113713
Modifier,11556,human,0.009662207357859531
Conjunction,4060,human,0.003394648829431438
Foreign,3495,human,0.0029222408026755853
Determiner,2604,human,0.002177257525083612
VerbPrefix,1342,human,0.0011220735785953178
Exclamation,358,human,0.00029933110367892976
Eomi,242,human,0.00020234113712374582
